rv_city,rv_price
houston,$21987
houston,$6500
houston,$3200
houston,$37900
houston,$49995
houston,$37900
houston,$37900
houston,$37900
houston,$35900
houston,$5500
houston,$3900
houston,$10980
houston,$5800
los angeles,$85
phoenix,$33900
san antonio,$37900
san diego,$149
chicago,$16596
houston,$26900
los angeles,$225000
los angeles,$44995
los angeles,$9700
los angeles,$9700
los angeles,$19995
los angeles,$48050
los angeles,$600
los angeles,$600
los angeles,$145
los angeles,$145
los angeles,$3699
phoenix,$33900
phoenix,$48900
phoenix,$29900
phoenix,$38750
phoenix,$34995
phoenix,$23888
phoenix,$24930
phoenix,$46255
phoenix,$3250
phoenix,$39995
phoenix,$27995
phoenix,$33900
phoenix,$89950
phoenix,$29900
phoenix,$19900
phoenix,$24900
phoenix,$34995
phoenix,$24930
phoenix,$24930
san antonio,$15000
san antonio,$31895
san antonio,$26900
san antonio,$47995
san antonio,$18995
san antonio,$17995
san antonio,$39995
san antonio,$23459
san antonio,$16935
san antonio,$25995
san antonio,$31988
san antonio,$6999
san antonio,$31895
san diego,$14500
san diego,$17999
san diego,$1450
san diego,$125
san diego,$5400
san diego,$500
san diego,$575
san diego,$16500
san diego,$37500
san diego,$8000
san diego,$100
san diego,$895
san diego,$395
san diego,$600
san diego,$45
san diego,$50
san diego,$75
chicago,$59996
chicago,$38996
chicago,$22996
chicago,$22996
chicago,$29996
chicago,$48996
chicago,$28996
chicago,$38996
new york,$19999
los angeles,$3699
los angeles,$3699
los angeles,$85
los angeles,$30
los angeles,$19799
los angeles,$350
los angeles,$5000
los angeles,$26400
los angeles,$31500
los angeles,$30400
los angeles,$30400
los angeles,$40000
los angeles,$42900
phoenix,$24888
phoenix,$24930
phoenix,$24930
phoenix,$24888
phoenix,$13995
phoenix,$23888
phoenix,$43900
phoenix,$34995
phoenix,$46255
phoenix,$59910
phoenix,$43995
phoenix,$23500
phoenix,$18995
phoenix,$13995
phoenix,$18995
phoenix,$59910
phoenix,$13995
phoenix,$59910
phoenix,$18995
dallas,$23459
SF bay area,$11000
san diego,$75
san diego,$75
san diego,$75
san diego,$75
san diego,$8000
san diego,$8000
san diego,$15
san diego,$15
san diego,$15
san diego,$15
san diego,$115
san diego,$115
san diego,$115
san diego,$31500
san diego,$125
san diego,$8700
san diego,$55
chicago,$53996
chicago,$63996
chicago,$48996
chicago,$68996
chicago,$32996
chicago,$19996
chicago,$20996
chicago,$32896
chicago,$23996
chicago,$35996
chicago,$33996
chicago,$38996
chicago,$25996
chicago,$39996
chicago,$38
chicago,$5000
chicago,$39
chicago,$4200
new york,$15000
new york,$3000
new york,$55
new york,$350
new york,$75
new york,$18000
new york,$5800
new york,$9000
new york,$2507
new york,$2000
los angeles,$41000
los angeles,$42900
los angeles,$30400
los angeles,$26400
los angeles,$40000
los angeles,$26400
los angeles,$42900
los angeles,$42900
los angeles,$31500
los angeles,$42900
los angeles,$42900
los angeles,$41000
los angeles,$40000
los angeles,$42900
los angeles,$41000
los angeles,$31500
los angeles,$800
los angeles,$500
los angeles,$79990
los angeles,$3289
phoenix,$24995
phoenix,$24995
phoenix,$21900
phoenix,$44998
phoenix,$33900
phoenix,$18995
phoenix,$59910
phoenix,$13995
phoenix,$33900
phoenix,$19900
phoenix,$24995
phoenix,$19900
phoenix,$21900
phoenix,$42000
phoenix,$13995
phoenix,$59910
phoenix,$18995
phoenix,$59910
